MONTH,PSCC2022,COMMODITY_DESCRIPTION,UNIT,COUNTRY CODE,COUNTRY OF DESTINATION,GROSS KILO (in kg),QUANTITY (various),FREE_ON_BOARD,INSURANCE (in USD),FREIGHT (in USD)
01,0105922000,- - - Fighting cocks,No,428,CAMBODIA (DEMOCRATIC KAMPUCHEA),84.00,30.00,600.00,0.00,0.00
01,0106200002,- Reptiles (including snakes and turtles) | Turtles,Gross kg,164,PEOPLE'S REPUBLIC OF CHINA,"12,300.00","12,300.00","45,000.00",0.00,0.00
01,0106200002,- Reptiles (including snakes and turtles) | Turtles,Gross kg,168,TAIWAN (REP. OF CHINA),"14,500.00","14,500.00","40,500.00",0.00,0.00
01,0106320000,"- - Psittaciformes (including parrots, parakeets, macaws an cockatoos) | - - Psittaciformes (including parrots, parakeets, macaws and cockatoos)",No,380,INDONESIA,250.00,250.00,"1,800.00",0.00,0.00
01,0106320000,"- - Psittaciformes (including parrots, parakeets, macaws an cockatoos) | - - Psittaciformes (including parrots, parakeets, macaws and cockatoos)",No,412,JAPAN,15.00,11.00,"1,910.00",0.00,0.00
01,0106320000,"- - Psittaciformes (including parrots, parakeets, macaws an cockatoos) | - - Psittaciformes (including parrots, parakeets, macaws and cockatoos)",No,440,REPUBLIC OF KOREA,100.00,13.00,"28,600.00",0.00,0.00
01,0106320000,"- - Psittaciformes (including parrots, parakeets, macaws an cockatoos) | - - Psittaciformes (including parrots, parakeets, macaws and cockatoos)",No,720,SINGAPORE,11.00,10.00,"2,398.00",0.00,0.00
01,0106909007,- Other | Butterflies,No,128,CANADA,15.00,"2,454.00","2,018.00",0.00,0.00
01,0106909007,- Other | Butterflies,No,808,TURKEY,27.00,"7,200.00",874.00,0.00,0.00
01,0106909007,- Other | Butterflies,No,820,RUSSIAN FEDERATION,18.00,"10,113.00","1,766.00",0.00,0.00
01,0106909007,- Other | Butterflies,No,836,"UNITED ARAB EMIRATES, N.E.S.",26.00,"10,850.00","1,593.00",0.00,0.00
