MONTH,PSCC2022,COMMODITY_DESCRIPTION,UNIT,COUNTRY CODE,COUNTRY OF DESTINATION,GROSS KILO (in kg),QUANTITY (various),FREE_ON_BOARD,INSURANCE (in USD),FREIGHT (in USD)
01,0105949101,A.  In-Quota,No.,892,VIETNAM,500,199,"7,958",0,0
01,0106200002,Turtles,Gross kg,164,PEOPLE'S REPUBLIC OF CHINA,"14,700","14,700","37,500",0,0
01,0106490001,Butterflies,No.,128,CANADA,11,"5,061","3,072",0,0
01,0106490001,Butterflies,No.,720,SINGAPORE,5,"3,750","1,500",0,0
01,0106490001,Butterflies,No.,808,TURKEY,2,"1,500",973,0,0
01,0106490001,Butterflies,No.,836,"UNITED ARAB EMIRATES, N.E.S.",34,"19,600","2,679",0,0
01,0106490001,Butterflies,No.,856,UK OF GREAT BRITAIN AND N. IRELAND,8,"5,450","1,145",0,0
01,0106490001,Butterflies,No.,860,UNITED STATES OF AMERICA,16,"8,053","2,730",0,0
01,0207120002,B.  Out-Quota,Net kg,412,JAPAN,"43,381","41,575","96,304",0,0
01,0207142001,A.  In-Quota,Net kg,412,JAPAN,"77,478","74,284","256,060",0,0
01,0207149100,- - - - Mechanically deboned or separated meat,Net kg,412,JAPAN,"19,569","19,054","79,618",0,0
01,0210199002,Other,Net kg,836,"UNITED ARAB EMIRATES, N.E.S.","1,855","1,324","6,420",0,0
01,0301199009,Other,Gross kg,036,AUSTRALIA,"7,400","7,400","4,625",0,0
01,0301199009,Other,Gross kg,064,BELGIUM,"1,000","1,000",896,0,0
01,0301199009,Other,Gross kg,108,BRUNEI DARUSSALAM,650,650,463,0,0
01,0301199009,Other,Gross kg,128,CANADA,"22,275","22,275","18,932",0,0
01,0301199009,Other,Gross kg,164,PEOPLE'S REPUBLIC OF CHINA,"40,150","40,150","70,519",0,0
01,0301199009,Other,Gross kg,168,TAIWAN (REP. OF CHINA),"18,780","18,780","16,903",0,0
01,0301199009,Other,Gross kg,212,DENMARK,"1,200","1,200","1,055",0,0
01,0301199009,Other,Gross kg,268,FRANCE,"4,745","4,745","4,926",0,0
01,0301199009,Other,Gross kg,309,GERMANY,"15,585","15,585","26,769",0,0
01,0301199009,Other,Gross kg,364,"HONG KONG, CHINA","32,470","32,470","24,989",0,0
01,0301199009,Other,Gross kg,376,INDIA,"1,500","1,500",385,0,0
01,0301199009,Other,Gross kg,396,ISRAEL,600,600,"1,008",0,0
01,0301199009,Other,Gross kg,400,ITALY,"3,260","3,260","4,866",0,0
01,0301199009,Other,Gross kg,412,JAPAN,"32,150","32,150","30,828",0,0
01,0301199009,Other,Gross kg,440,REPUBLIC OF KOREA,"14,350","14,350","7,187",0,0
01,0301199009,Other,Gross kg,444,KUWAIT,900,900,849,0,0
01,0301199009,Other,Gross kg,484,MACAU,800,800,227,0,0
01,0301199009,Other,Gross kg,500,MALAYSIA,"4,700","4,700","4,154",0,0
01,0301199009,Other,Gross kg,520,MALTA,800,800,987,0,0
01,0301199009,Other,Gross kg,576,NETHERLANDS,"4,375","4,375","13,298",0,0
01,0301199009,Other,Gross kg,608,NORWAY,"1,800","1,800","1,191",0,0
01,0301199009,Other,Gross kg,640,PERU,500,500,504,0,0
01,0301199009,Other,Gross kg,648,POLAND,"1,200","1,200",488,0,0
01,0301199009,Other,Gross kg,652,PORTUGAL,300,300,"1,301",0,0
01,0301199009,Other,Gross kg,720,SINGAPORE,"7,320","7,320","7,771",0,0
01,0301199009,Other,Gross kg,732,"SOUTH AFRICA, REP. OF ","1,450","1,450",829,0,0
01,0301199009,Other,Gross kg,740,SPAIN,"1,500","1,500","1,676",0,0
01,0301199009,Other,Gross kg,748,SRI LANKA  (CEYLON),900,900,519,0,0
01,0301199009,Other,Gross kg,764,SWEDEN,500,500,302,0,0
01,0301199009,Other,Gross kg,768,SWITZERLAND,"1,000","1,000",755,0,0
01,0301199009,Other,Gross kg,780,THAILAND,"3,420","3,420","2,938",0,0
01,0301199009,Other,Gross kg,836,"UNITED ARAB EMIRATES, N.E.S.","2,900","2,900","1,454",0,0
01,0301199009,Other,Gross kg,856,UK OF GREAT BRITAIN AND N. IRELAND,"21,250","21,250","24,161",0,0
01,0301199009,Other,Gross kg,860,UNITED STATES OF AMERICA,"211,600","211,600","246,154",0,0
01,0301199009,Other,Gross kg,872,HAWAII,"2,000","2,000","1,200",0,0
01,0301920000,- -  Eels (Anguilla spp.),Gross kg,440,REPUBLIC OF KOREA,"4,200","4,200","129,000",0,0
01,0301992100,- - - - Breeding,Gross kg,500,MALAYSIA,"3,150","3,150","6,750",0,0
01,0301993901,Lapu-lapu,Gross kg,164,PEOPLE'S REPUBLIC OF CHINA,"9,000","9,000","27,000",0,0
01,0301993901,Lapu-lapu,Gross kg,168,TAIWAN (REP. OF CHINA),700,700,"1,800",0,0
01,0301993901,Lapu-lapu,Gross kg,364,"HONG KONG, CHINA","522,167","522,167","1,489,670",0,3
01,0301993901,Lapu-lapu,Gross kg,464,LIBERIA,"1,038","1,038","5,400",0,0
01,0301993901,Lapu-lapu,Gross kg,484,MACAU,"77,557","77,557","339,500",0,0
01,0301993909,Other,Gross kg,364,"HONG KONG, CHINA","1,659","1,659","5,400",0,0
01,0301994000,"- - - Other, freshwater fish",Gross kg,164,PEOPLE'S REPUBLIC OF CHINA,"843,000","843,000","2,806,600",0,0
01,0301994000,"- - - Other, freshwater fish",Gross kg,168,TAIWAN (REP. OF CHINA),"34,200","34,200","85,200",0,0
01,0301994000,"- - - Other, freshwater fish",Gross kg,440,REPUBLIC OF KOREA,650,650,"2,800",0,0
01,0302310000,- -  Albacore or longfinned tunas (Thunnus alalunga),Gross kg,364,"HONG KONG, CHINA",250,250,300,0,0
01,0302320000,- -  Yellowfin tunas (Thunnus albacares),Gross kg,128,CANADA,"6,700","6,700","15,450",0,0
01,0302320000,- -  Yellowfin tunas (Thunnus albacares),Gross kg,268,FRANCE,"3,000","3,000","10,000",0,0
01,0302320000,- -  Yellowfin tunas (Thunnus albacares),Gross kg,309,GERMANY,"4,000","4,000","10,000",0,0
01,0302320000,- -  Yellowfin tunas (Thunnus albacares),Gross kg,364,"HONG KONG, CHINA","6,950","6,950","30,120",0,0
01,0302320000,- -  Yellowfin tunas (Thunnus albacares),Gross kg,400,ITALY,"118,000","118,000","335,000",0,0
01,0302320000,- -  Yellowfin tunas (Thunnus albacares),Gross kg,412,JAPAN,"76,454","76,454","187,921",0,0
01,0302320000,- -  Yellowfin tunas (Thunnus albacares),Gross kg,576,NETHERLANDS,"43,400","43,400","159,400",0,0
01,0302320000,- -  Yellowfin tunas (Thunnus albacares),Gross kg,720,SINGAPORE,750,750,"1,500",0,0
01,0302320000,- -  Yellowfin tunas (Thunnus albacares),Gross kg,768,SWITZERLAND,"42,200","42,200","221,100",0,0
01,0302320000,- -  Yellowfin tunas (Thunnus albacares),Gross kg,836,"UNITED ARAB EMIRATES, N.E.S.","6,200","6,200","18,150",0,0
01,0302320000,- -  Yellowfin tunas (Thunnus albacares),Gross kg,860,UNITED STATES OF AMERICA,"28,543","28,543","244,461",0,0
01,0302320000,- -  Yellowfin tunas (Thunnus albacares),Gross kg,868,GUAM,"1,700","1,700","6,750",0,0
01,0302320000,- -  Yellowfin tunas (Thunnus albacares),Gross kg,872,HAWAII,"1,700","1,700","6,750",0,0
01,0302420000,- - Anchovies (Engraulis spp.),Gross kg,868,GUAM,684,684,"1,020",0,0
01,0302440000,"- - Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",Gross kg,364,"HONG KONG, CHINA","6,000","6,000","7,500",0,0
01,0302440000,"- - Mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus)",Gross kg,868,GUAM,"2,372","2,372","3,860",0,0
01,0302470000,- - Swordfish (Xiphias gladius),Gross kg,168,TAIWAN (REP. OF CHINA),"7,500","7,500","30,000",0,0
01,0302590001,Milkfish (Bangus),Gross kg,868,GUAM,200,200,225,0,0
01,0302891900,- - - - Other,Gross kg,164,PEOPLE'S REPUBLIC OF CHINA,"96,500","96,500","188,500",0,0
01,0302891900,- - - - Other,Gross kg,168,TAIWAN (REP. OF CHINA),"40,700","40,700","84,450",0,0
01,0302891900,- - - - Other,Gross kg,364,"HONG KONG, CHINA","79,200","79,200","116,500",0,0
01,0302891900,- - - - Other,Gross kg,720,SINGAPORE,"5,300","5,300","12,500",0,0
01,0302891900,- - - - Other,Gross kg,868,GUAM,"10,869","10,869","18,612",0,0
01,0303190001,Milkfish (Bangus),Gross kg,128,CANADA,"20,602","20,602","95,295",0,0
01,0303190001,Milkfish (Bangus),Gross kg,400,ITALY,"8,136","8,136","42,617",0,0
01,0303190001,Milkfish (Bangus),Gross kg,440,REPUBLIC OF KOREA,"16,000","16,000","40,737",0,0
01,0303190001,Milkfish (Bangus),Gross kg,576,NETHERLANDS,"20,551","20,551","105,432",0,0
01,0303190001,Milkfish (Bangus),Gross kg,836,"UNITED ARAB EMIRATES, N.E.S.","8,210","8,210","37,792",0,0
01,0303190001,Milkfish (Bangus),Gross kg,856,UK OF GREAT BRITAIN AND N. IRELAND,"17,557","17,557","79,628",0,0
01,0303190001,Milkfish (Bangus),Gross kg,860,UNITED STATES OF AMERICA,"297,395","297,395","1,436,762",0,0
01,0303420000,- -  Yellowfin tunas (Thunnus albacares),Gross kg,380,INDONESIA,"50,075","50,075","268,750",0,0
01,0303420000,- -  Yellowfin tunas (Thunnus albacares),Gross kg,400,ITALY,"72,000","72,000","276,750",0,0
01,0303420000,- -  Yellowfin tunas (Thunnus albacares),Gross kg,412,JAPAN,"472,111","472,111","1,969,000",0,0
01,0303420000,- -  Yellowfin tunas (Thunnus albacares),Gross kg,704,SAUDI ARABIA,"5,430","5,430","10,000",0,0
01,0303420000,- -  Yellowfin tunas (Thunnus albacares),Gross kg,740,SPAIN,"50,000","50,000","141,000",0,0
01,0303420000,- -  Yellowfin tunas (Thunnus albacares),Gross kg,780,THAILAND,"28,050","28,050","47,600",0,0
01,0303420000,- -  Yellowfin tunas (Thunnus albacares),Gross kg,860,UNITED STATES OF AMERICA,"204,392","204,392","667,853",0,0
01,0303420000,- -  Yellowfin tunas (Thunnus albacares),Gross kg,872,HAWAII,"10,661","10,661","80,000",0,0
01,0303420000,- -  Yellowfin tunas (Thunnus albacares),Gross kg,892,VIETNAM,"10,322","10,322","19,874",0,0
01,0303891909,Other,Gross kg,168,TAIWAN (REP. OF CHINA),"15,636","15,636","18,930",0,0
01,0303891909,Other,Gross kg,364,"HONG KONG, CHINA",750,750,"8,620",0,0
01,0303891909,Other,Gross kg,440,REPUBLIC OF KOREA,"2,500","2,500","12,500",0,0
01,0303891909,Other,Gross kg,892,VIETNAM,"25,316","25,316","240,960",0,0
01,0303892900,- - - - Other,Gross kg,412,JAPAN,"24,862","24,862","60,872",0,0
01,0304490000,- - Other,Gross kg,364,"HONG KONG, CHINA",910,910,"5,960",0,0
01,0304490000,- - Other,Gross kg,412,JAPAN,"11,657","11,657","108,617",0,0
01,0304590000,- - Other,Gross kg,268,FRANCE,"6,000","6,000","20,000",0,0
01,0304590000,- - Other,Gross kg,400,ITALY,"6,000","6,000","20,000",0,0
01,0304590000,- - Other,Gross kg,576,NETHERLANDS,"15,000","15,000","50,000",0,0
01,0304590000,- - Other,Gross kg,720,SINGAPORE,"2,250","2,250","4,500",0,0
01,0304590000,- - Other,Gross kg,740,SPAIN,"25,119","25,119","135,054",0,0
01,0304590000,- - Other,Gross kg,768,SWITZERLAND,"6,600","6,600","22,000",0,0
01,0304590000,- - Other,Gross kg,836,"UNITED ARAB EMIRATES, N.E.S.",800,800,"5,550",0,0
01,0304590000,- - Other,Gross kg,860,UNITED STATES OF AMERICA,"9,000","9,000","24,000",0,0
01,0304590000,- - Other,Gross kg,872,HAWAII,"8,477","8,477","33,750",0,0
01,0304990000,- - Other,Gross kg,412,JAPAN,"789,146","789,146","5,599,831",0,0
01,0304990000,- - Other,Gross kg,608,NORWAY,"8,000","8,000","37,800",0,0
01,0304990000,- - Other,Gross kg,740,SPAIN,"26,070","26,070","137,043",0,0
01,0305100000,"-  Flours, meals and pellets of fish, fit for human consumption",Gross kg,036,AUSTRALIA,"1,111","1,111","1,680",0,0
01,0305490000,- -  Other,Gross kg,412,JAPAN,"227,588","227,588","598,892",0,0
01,0305490000,- -  Other,Gross kg,440,REPUBLIC OF KOREA,"11,025","11,025","69,759",0,0
01,0305490000,- -  Other,Gross kg,780,THAILAND,"11,088","11,088","5,280",0,0
01,0305592008,Tuna,Gross kg,412,JAPAN,"20,610","20,610","94,768",0,0
01,0305592008,Tuna,Gross kg,440,REPUBLIC OF KOREA,"11,088","11,088","85,028",0,0
01,0305592019,Other (marine),Gross kg,036,AUSTRALIA,"1,050","1,050","2,625",0,0
01,0305592019,Other (marine),Gross kg,364,"HONG KONG, CHINA",250,250,"10,000",0,0
01,0305592019,Other (marine),Gross kg,720,SINGAPORE,250,250,"5,000",0,0
01,0305592019,Other (marine),Gross kg,860,UNITED STATES OF AMERICA,300,300,"1,739",0,0
01,0305699001,Milkfish,Gross kg,036,AUSTRALIA,"1,838","1,838","4,812",0,0
01,0305729009,- - - -  Other,Gross kg,164,PEOPLE'S REPUBLIC OF CHINA,"1,710","1,710","3,420",0,0
01,0305790009,Other,Gross kg,412,JAPAN,150,150,"2,740",0,0
01,0306141001,Mud Crab (Scylla serrata),Gross kg,364,"HONG KONG, CHINA","50,000","50,000","197,400",0,0
01,0306141001,Mud Crab (Scylla serrata),Gross kg,720,SINGAPORE,"16,400","16,400","60,900",0,0
01,0306141009,Other,Gross kg,168,TAIWAN (REP. OF CHINA),"1,773","1,773","1,773",0,0
01,0306171000,- - - Giant tiger prawns (Penaeus monodon),Gross kg,128,CANADA,"15,254","15,254","88,580",0,0
01,0306171000,- - - Giant tiger prawns (Penaeus monodon),Gross kg,168,TAIWAN (REP. OF CHINA),"9,575","9,575","42,636",0,0
01,0306171000,- - - Giant tiger prawns (Penaeus monodon),Gross kg,268,FRANCE,"72,000","72,000","647,034",0,0
01,0306171000,- - - Giant tiger prawns (Penaeus monodon),Gross kg,412,JAPAN,"35,725","35,725","280,410",0,0
01,0306171000,- - - Giant tiger prawns (Penaeus monodon),Gross kg,440,REPUBLIC OF KOREA,"48,843","48,843","468,526",0,0
01,0306171000,- - - Giant tiger prawns (Penaeus monodon),Gross kg,444,KUWAIT,"16,111","16,111","106,466",0,0
01,0306171000,- - - Giant tiger prawns (Penaeus monodon),Gross kg,860,UNITED STATES OF AMERICA,"19,890","19,890","151,555",0,0
01,0306172000,- - - Whiteleg shrimps (Liptopenaeus vannamei),Gross kg,412,JAPAN,"30,246","30,246","196,011",0,0
01,0306172000,- - - Whiteleg shrimps (Liptopenaeus vannamei),Gross kg,704,SAUDI ARABIA,"19,857","19,857","137,518",0,0
01,0306172000,- - - Whiteleg shrimps (Liptopenaeus vannamei),Gross kg,856,UK OF GREAT BRITAIN AND N. IRELAND,"11,115","11,115","111,690",0,0
01,0306172000,- - - Whiteleg shrimps (Liptopenaeus vannamei),Gross kg,860,UNITED STATES OF AMERICA,"14,505","14,505","56,835",0,0
01,0306179000,- - - Other,Gross kg,168,TAIWAN (REP. OF CHINA),"32,821","32,821","170,217",0,0
01,0306179000,- - - Other,Gross kg,412,JAPAN,"15,392","15,392","84,035",0,0
01,0306179000,- - - Other,Gross kg,856,UK OF GREAT BRITAIN AND N. IRELAND,"14,362","14,362","75,249",0,0
01,0306212000,"- - - Other, live",Gross kg,164,PEOPLE'S REPUBLIC OF CHINA,"3,000","3,000","12,500",0,0
01,0306212000,"- - - Other, live",Gross kg,364,"HONG KONG, CHINA","23,378","23,378","65,550",0,0
01,0306212000,"- - - Other, live",Gross kg,464,LIBERIA,231,231,"1,200",0,0
