MONTH,PSCC2022,COMMODITY_DESCRIPTION,UNIT,COUNTRY CODE,COUNTRY OF DESTINATION,GROSS KILO (in kg),QUANTITY (various),FREE_ON_BOARD,INSURANCE (in USD),FREIGHT (in USD)
01,0105949101,A.  In-Quota,No.,892,VIETNAM,160,100,"3,000",0,0
01,0106200002,Turtles,Gross kg,164,PEOPLE'S REPUBLIC OF CHINA,"18,850","18,850","53,000",0,0
01,0106200002,Turtles,Gross kg,168,TAIWAN (REP. OF CHINA),"5,700","5,700","41,000",0,0
01,0106490001,Butterflies,No.,128,CANADA,9,"2,721","1,816",0,0
01,0106490001,Butterflies,No.,592,NEW ZEALAND,8,"2,765",956,0,0
01,0106490001,Butterflies,No.,624,"PAKISTAN, ISLAMIC REP. OF",2,700,98,0,0
01,0106490001,Butterflies,No.,720,SINGAPORE,5,"4,830","1,449",0,0
01,0106490001,Butterflies,No.,836,"UNITED ARAB EMIRATES, N.E.S.",6,"5,050",880,0,0
01,0106490001,Butterflies,No.,860,UNITED STATES OF AMERICA,100,"2,715",990,0,0
01,0106490001,Butterflies,No.,866,UZBEKISTAN,3,606,49,0,0
01,0106900009,Other,No.,836,"UNITED ARAB EMIRATES, N.E.S.",7,"4,500",777,0,0
01,0207149901,A. In-Quota,Net kg,412,JAPAN,"8,123","7,784","28,350",0,0
01,0210199001,Tocino,Net kg,836,"UNITED ARAB EMIRATES, N.E.S.","9,606","6,862","33,849",0,0
01,0210199002,Other,Net kg,836,"UNITED ARAB EMIRATES, N.E.S.","5,695","4,067","22,256",0,0
01,0301199009,Other,Gross kg,036,AUSTRALIA,800,800,350,0,0
01,0301199009,Other,Gross kg,042,AZERBAIJAN,500,500,245,0,0
01,0301199009,Other,Gross kg,064,BELGIUM,"1,000","1,000",648,0,0
01,0301199009,Other,Gross kg,128,CANADA,"18,150","18,150","10,640",0,0
01,0301199009,Other,Gross kg,164,PEOPLE'S REPUBLIC OF CHINA,"46,200","46,200","32,134",0,0
01,0301199009,Other,Gross kg,168,TAIWAN (REP. OF CHINA),"30,780","30,780","26,535",0,0
01,0301199009,Other,Gross kg,268,FRANCE,"3,745","3,745","7,017",0,0
01,0301199009,Other,Gross kg,309,GERMANY,"11,700","11,700","9,464",0,0
01,0301199009,Other,Gross kg,364,"HONG KONG, CHINA","40,516","40,516","28,191",0,0
01,0301199009,Other,Gross kg,380,INDONESIA,190,190,200,0,0
01,0301199009,Other,Gross kg,396,ISRAEL,"1,200","1,200","1,864",0,0
01,0301199009,Other,Gross kg,400,ITALY,"3,000","3,000","2,526",0,0
01,0301199009,Other,Gross kg,412,JAPAN,"46,507","46,507","32,866",0,3
